question,answer
What is the minimum attendance required to sit for exams?,Students must maintain at least 75% attendance in each subject to be eligible for semester exams.
Can I attend classes after getting a medical leave?,Yes you can attend classes after medical leave but the absent days will still count unless you submit a valid medical certificate within 3 days of returning.
What happens if my attendance falls below 75%?,You will be detained from appearing in the semester exam for the subjects where attendance is below 75%.
How is attendance calculated for practical sessions?,Practical attendance is calculated separately from theory classes and you must maintain 75% in both independently.
Is there any provision to condone shortage of attendance?,Condonation up to 10% shortage may be granted by the principal on medical grounds with supporting documents.
Can I check my attendance online?,Yes you can check subject-wise attendance through the student portal at the university website using your roll number and password.
Will late entry to class be counted as absent?,Students arriving more than 10 minutes late will be marked absent for that session.
How many days can I be absent in a semester without academic consequences?,You can miss up to 25% of classes per subject without academic penalty but must inform the department.
What is the process for regularizing attendance after a long absence?,Submit a leave application with supporting documents to the HOD within 5 working days of returning.
Do online classes count towards attendance?,Yes attendance in authorized online sessions is counted equivalent to physical attendance.
What is the grading system followed by the university?,The university follows a 10-point CGPA grading system where O is 10 points A+ is 9 A is 8 B+ is 7 B is 6 C is 5 and F is fail.
What is the minimum CGPA required to pass a semester?,Students must secure a minimum CGPA of 5.0 and no individual subject grade below C to pass the semester.
How do I calculate my CGPA?,CGPA is calculated by multiplying each subject's grade point by its credit hours summing them and dividing by total credit hours.
When are semester grades published?,Grade results are typically published within 3 weeks after the last exam on the university results portal.
Can I apply for re-evaluation of my answer sheet?,Yes you can apply for re-evaluation within 15 days of result publication by paying a fee of Rs 500 per subject.
What is a backlog subject?,A backlog subject is one in which you received a failing grade and must reappear in the supplementary exam.
How many backlog subjects can I carry to the next semester?,You can carry up to 3 backlog subjects to the next semester but more than that may result in semester repetition.
Is there a grace mark policy?,Yes the university grants up to 5 grace marks in one subject per semester to help students pass.
How do I apply for a grade improvement exam?,Grade improvement exams are held after final results and you can apply through the exam section with a fee of Rs 400 per subject.
What is the difference between internal and external marks?,Internal marks are based on assignments tests and attendance and form 40% of total marks while external exam forms the remaining 60%.
How do I register for elective courses?,Log in to the student portal during the elective registration window and select your preferred elective from the available list.
What is the credit system followed?,The university follows the Choice Based Credit System where each course has assigned credits ranging from 1 to 4.
